epoch,val_loss,epoch_sure_sn
1,4.753434,41.4
2,4.284665,39.1
3,4.004523,38.9
4,3.853474,39.0
5,3.733007,39.0
6,3.595769,38.9
7,3.424874,39.0
8,3.188727,39.1
9,3.024012,39.0
10,2.877202,39.0
11,2.649222,38.9
12,2.549408,38.7
13,2.319632,38.9
14,2.274149,38.7
15,2.112142,38.7
16,2.033846,38.7
17,1.882878,38.7
18,1.756715,38.7
19,1.578358,38.9
20,1.422750,38.7
21,1.361066,38.6
22,1.394652,38.7
23,1.186485,38.8
24,1.096771,38.9
25,1.121039,38.9
26,0.971613,38.7
27,0.945404,38.9
28,0.957547,39.0
29,0.918494,39.0
30,0.904011,39.0
31,0.799118,40.1
32,0.832985,39.3
33,0.784849,39.4
34,0.726861,39.0
35,0.684207,39.0
36,0.676439,39.0
37,0.629553,39.0
38,0.597796,39.0
39,0.583492,38.9
40,0.561998,38.9
41,0.565804,38.9
42,0.578003,38.9
43,0.521008,38.9
44,0.512234,38.9
45,0.485489,39.0
46,0.469606,38.9
47,0.476141,39.1
48,0.462909,38.8
49,0.445829,39.0
50,0.446106,38.9
51,0.466837,38.9
52,0.447952,39.0
53,0.447127,38.9
54,0.439059,38.9
55,0.410311,38.9
56,0.394063,39.0
57,0.408591,38.8
58,0.399515,39.0
59,0.381135,38.9
60,0.390935,39.0
61,0.374205,39.0
62,0.360969,39.0
63,0.362220,38.9
64,0.357267,38.8
65,0.351900,38.8
66,0.338997,38.8
67,0.337297,38.9
68,0.326073,38.8
69,0.322468,38.9
70,0.315611,39.0
71,0.312096,38.5
72,0.303564,39.0
73,0.316864,38.8
74,0.300792,39.3
75,0.290470,39.0
76,0.289048,38.8
77,0.295641,39.0
78,0.279727,38.7
79,0.279730,39.7
80,0.283218,38.9
