epoch,val_loss,epoch_sure_sn
1,4.059557,118.8
2,3.461818,69.3
3,3.064976,105.3
4,2.597267,187.9
5,2.043877,184.5
6,1.612381,132.6
7,1.347424,88.1
8,1.163336,76.4
9,1.031845,131.1
10,0.931307,181.3
11,0.856609,186.8
12,0.796033,186.5
13,0.745598,197.1
14,0.705076,192.4
15,0.671968,154.4
16,0.641438,103.9
17,0.616673,120.7
18,0.593699,144.9
19,0.573930,101.4
20,0.557056,103.6
21,0.541327,102.5
22,0.526603,84.1
23,0.512583,91.4
24,0.500949,60.7
25,0.489986,59.4
26,0.478890,67.6
27,0.469478,72.2
28,0.459551,97.5
29,0.452962,99.8
30,0.444185,56.1
31,0.436976,60.3
32,0.431133,63.1
33,0.424784,128.7
34,0.420262,108.2
35,0.414636,101.7
36,0.409820,106.9
37,0.405270,108.1
38,0.400681,96.4
39,0.396341,60.0
40,0.391835,56.7
41,0.387550,54.3
42,0.383147,55.5
43,0.379090,56.5
44,0.374983,58.6
45,0.370189,77.1
46,0.366004,76.3
47,0.362161,120.0
48,0.358478,137.5
49,0.354414,134.3
50,0.351007,119.5
51,0.347514,104.6
52,0.344080,115.2
53,0.340950,109.3
54,0.338005,104.3
55,0.335111,113.9
56,0.332461,76.3
57,0.329415,51.7
58,0.326609,83.7
59,0.324245,118.2
60,0.321751,104.3
61,0.319403,113.3
62,0.316876,104.7
63,0.314739,100.4
64,0.312054,102.5
65,0.310014,102.3
66,0.307972,98.6
67,0.305760,101.5
68,0.303688,95.4
69,0.302143,95.9
70,0.299691,106.2
71,0.297905,102.9
72,0.296869,96.8
73,0.294935,99.9
74,0.293518,103.0
75,0.292349,101.3
76,0.290982,98.9
77,0.289180,89.4
78,0.287905,99.8
79,0.286813,99.7
80,0.286110,101.5
