epoch,val_loss,epoch_sure_sn
1,4.067129,42.3
2,3.469642,40.9
3,3.147079,41.2
4,2.847374,41.0
5,2.400846,41.1
6,2.005304,41.3
7,1.753931,41.1
8,1.568742,41.0
9,1.448892,41.0
10,1.325650,41.4
11,1.222702,41.0
12,1.141654,41.3
13,1.075660,41.5
14,0.997873,41.1
15,0.956059,41.2
16,0.903738,41.2
17,0.865024,41.0
18,0.822594,41.1
19,0.793499,41.3
20,0.761112,41.4
21,0.728788,41.2
22,0.707476,41.1
23,0.687434,41.2
24,0.660225,41.1
25,0.647034,41.3
26,0.629115,41.2
27,0.616070,40.5
28,0.603392,40.7
29,0.589787,40.7
30,0.578859,40.6
31,0.565877,41.1
32,0.557056,41.2
33,0.548220,41.3
34,0.540169,42.7
35,0.529543,41.5
36,0.523200,41.4
37,0.518400,41.2
38,0.506796,41.2
39,0.499477,41.1
40,0.494838,41.1
41,0.487902,41.3
42,0.482002,41.5
43,0.476875,41.2
44,0.469255,41.6
45,0.465141,40.9
46,0.458558,40.9
47,0.453925,41.2
48,0.448412,41.4
49,0.441639,40.4
50,0.437467,40.1
51,0.433199,40.4
52,0.428407,40.2
53,0.424544,40.6
54,0.419829,40.2
55,0.416478,40.5
56,0.412609,40.4
57,0.408968,40.5
58,0.403842,40.7
59,0.401735,40.3
60,0.397562,40.6
61,0.394788,40.3
62,0.393152,40.4
63,0.388935,40.4
64,0.383863,40.4
65,0.382969,40.4
66,0.380629,40.4
67,0.376147,40.3
68,0.373765,40.6
69,0.371344,40.5
70,0.366910,40.2
71,0.365263,40.5
72,0.362281,41.2
73,0.361191,40.8
74,0.357610,40.7
75,0.356369,40.8
76,0.354598,41.0
77,0.352707,42.3
78,0.349093,41.5
79,0.348884,40.6
80,0.348379,40.3
