epoch,val_loss,epoch_sure_sn
1,4.061822,41.9
2,3.467500,40.8
3,3.119276,38.1
4,2.663405,41.5
5,2.175710,39.9
6,1.761862,39.8
7,1.522554,40.0
8,1.414404,60.2
9,1.257485,38.9
10,1.156912,39.1
11,1.050918,40.1
12,1.008687,39.9
13,0.924929,40.0
14,0.863037,40.3
15,0.816675,40.2
16,0.775969,39.8
17,0.756517,39.5
18,0.726831,73.6
19,0.687569,75.6
20,0.661066,60.7
21,0.639999,40.4
22,0.622350,72.3
23,0.593778,62.3
24,0.578807,39.2
25,0.563134,81.8
26,0.554911,40.1
27,0.535316,40.9
28,0.528388,44.5
29,0.511719,46.3
30,0.498608,43.3
31,0.499434,40.7
32,0.487519,39.4
33,0.479074,39.9
34,0.472983,39.8
35,0.467132,40.1
36,0.460342,40.0
37,0.451480,40.0
38,0.452720,39.4
39,0.441985,40.1
40,0.435220,39.5
41,0.431680,39.5
42,0.428132,39.6
43,0.421218,39.8
44,0.419239,40.5
45,0.412466,40.7
46,0.413112,39.6
47,0.403298,42.1
48,0.404550,40.2
49,0.395137,41.0
50,0.393616,41.5
51,0.392244,41.5
52,0.387473,42.7
53,0.380438,43.4
54,0.376071,43.6
55,0.372808,43.0
56,0.369780,39.3
57,0.366492,39.1
58,0.366264,40.4
59,0.361249,39.7
60,0.358430,39.9
61,0.357605,39.4
62,0.353546,39.9
63,0.349675,39.8
64,0.350563,39.8
65,0.347766,40.7
66,0.343711,40.1
67,0.345297,41.2
68,0.339321,40.0
69,0.339953,40.4
70,0.335861,40.9
71,0.332752,41.2
72,0.330295,87.7
73,0.329765,88.0
74,0.329698,63.0
75,0.329084,56.1
76,0.324204,39.4
77,0.326065,40.1
78,0.322742,41.7
79,0.323888,49.1
80,0.321513,41.6
