epoch,val_loss,epoch_sure_sn
1,4.060939,65.8
2,3.472111,82.0
3,3.121674,107.7
4,2.701043,111.4
5,2.238583,89.7
6,1.787288,110.0
7,1.503212,101.4
8,1.381648,103.6
9,1.186370,102.7
10,1.116668,109.3
11,1.027795,106.7
12,1.061987,104.8
13,1.030158,107.4
14,0.999605,107.9
15,0.965185,60.9
16,0.966110,65.3
17,0.861008,82.6
18,0.820358,116.8
19,0.756906,104.2
20,0.709809,55.0
21,0.746670,83.0
22,0.786233,56.5
23,0.660158,61.9
24,0.796127,84.4
25,0.675885,55.2
26,0.614211,54.7
27,0.701062,55.0
28,0.580359,56.4
29,0.560989,68.5
30,0.580762,68.4
31,0.629898,104.7
32,0.563527,87.3
33,0.584058,54.4
34,0.537069,55.7
35,0.611365,54.5
36,0.549734,55.0
37,0.553615,58.8
38,0.518697,58.1
39,0.495903,56.2
40,0.459603,56.3
41,0.450708,54.9
42,0.501195,54.9
43,0.443512,54.1
44,0.513756,55.1
45,0.462899,95.0
46,0.426983,97.9
47,0.500947,105.5
48,0.494648,66.9
49,0.457639,121.1
50,0.469832,134.3
51,0.402210,95.8
52,0.404274,59.1
53,0.398880,100.7
54,0.435534,104.7
55,0.445459,94.5
56,0.415744,137.8
57,0.433280,146.2
58,0.457121,87.4
59,0.404724,57.9
60,0.434355,58.9
61,0.447687,57.3
62,0.363171,91.1
63,0.501039,56.9
64,0.437177,52.1
65,0.358893,57.2
66,0.509978,59.2
67,0.355322,59.2
68,0.379787,55.9
69,0.501871,53.9
70,0.402560,108.0
71,0.391459,117.9
72,0.377833,117.7
73,0.361073,105.6
74,0.370065,115.6
75,0.412766,114.6
76,0.338402,118.7
77,0.336301,127.3
78,0.415177,104.9
79,0.346872,115.1
80,0.334680,119.4
