epoch,val_loss,epoch_sure_sn
1,4.073153,46.4
2,3.485202,44.1
3,3.176212,44.5
4,2.873011,43.1
5,2.495640,41.2
6,2.223498,35.9
7,2.029493,35.1
8,1.820112,38.0
9,1.670742,42.1
10,1.484162,41.7
11,1.394557,41.6
12,1.301752,41.7
13,1.222988,41.7
14,1.064373,41.5
15,1.109092,41.9
16,1.006721,41.0
17,0.928632,41.8
18,0.937106,41.8
19,0.888458,41.8
20,0.837076,41.6
21,0.791164,41.7
22,0.758264,41.9
23,0.776093,41.5
24,0.757541,41.7
25,0.719852,42.3
26,0.727134,42.3
27,0.716214,42.2
28,0.640037,41.1
29,0.634084,41.4
30,0.662961,38.0
31,0.694889,35.6
32,0.606194,35.6
33,0.572766,35.7
34,0.578528,37.2
35,0.573350,40.6
36,0.565783,36.9
37,0.574479,34.9
38,0.575381,40.0
39,0.566850,34.4
40,0.527724,34.5
41,0.528624,35.3
42,0.578272,44.1
43,0.560499,44.3
44,0.512188,40.7
45,0.557315,41.9
46,0.549163,38.4
47,0.510212,38.9
48,0.480867,38.1
49,0.480844,35.0
50,0.533633,34.3
51,0.459792,34.6
52,0.479968,40.4
53,0.480966,43.3
54,0.506337,42.6
55,0.454221,42.7
56,0.447827,43.3
57,0.461765,42.1
58,0.439499,40.7
59,0.470324,38.2
60,0.450127,39.3
61,0.453700,34.6
62,0.490889,34.6
63,0.416816,34.6
64,0.427688,34.3
65,0.409875,35.0
66,0.415153,34.6
67,0.495254,34.8
68,0.433073,34.8
69,0.405341,35.5
70,0.406862,35.3
71,0.439396,37.1
72,0.465402,42.3
73,0.386899,39.5
74,0.427221,45.6
75,0.391255,43.0
76,0.382198,34.9
77,0.409006,40.1
78,0.435689,42.6
79,0.405664,35.0
80,0.400810,34.4
