epoch,val_loss,epoch_sure_sn
1,4.069265,50.4
2,3.493289,42.6
3,3.216507,41.7
4,3.009929,41.6
5,2.784184,41.7
6,2.529909,42.2
7,2.302153,41.2
8,2.130434,40.9
9,1.934060,41.9
10,1.747572,41.8
11,1.633739,41.8
12,1.516880,41.7
13,1.456806,41.7
14,1.414503,41.6
15,1.300629,43.0
16,1.231060,42.2
17,1.208095,41.6
18,1.165967,41.7
19,1.078474,41.7
20,1.088012,41.6
21,1.004559,41.6
22,0.977500,41.6
23,1.004783,41.7
24,0.931533,41.6
25,0.896036,41.6
26,0.850948,41.7
27,0.817617,41.7
28,0.800172,41.5
29,0.812567,41.7
30,0.764450,41.6
31,0.743024,41.8
32,0.761174,41.6
33,0.744701,41.8
34,0.738487,41.7
35,0.729065,41.7
36,0.666099,41.7
37,0.682918,41.8
38,0.651383,41.5
39,0.713541,41.8
40,0.632559,41.6
41,0.685981,41.8
42,0.646570,41.7
43,0.615738,41.6
44,0.635491,41.6
45,0.643273,41.8
46,0.590582,41.5
47,0.595442,41.0
48,0.665482,41.1
49,0.556023,41.0
50,0.572034,40.9
51,0.593432,41.4
52,0.540963,41.8
53,0.540180,41.6
54,0.579818,41.5
55,0.528957,41.7
56,0.562061,41.7
57,0.553184,41.7
58,0.533236,42.1
59,0.514096,42.0
60,0.554711,41.9
61,0.513618,41.7
62,0.489100,41.7
63,0.506146,41.9
64,0.505812,41.5
65,0.478239,41.6
66,0.481705,41.6
67,0.483294,41.7
68,0.486192,41.5
69,0.534493,41.6
70,0.540720,41.7
71,0.472802,41.5
72,0.453552,41.6
73,0.477128,41.8
74,0.461857,41.6
75,0.494388,41.5
76,0.481778,41.6
77,0.455298,41.5
78,0.447185,41.5
79,0.436001,41.7
80,0.440301,41.6
