epoch,val_loss,epoch_sure_sn
1,4.074950,38.1
2,3.497552,40.9
3,3.232766,42.0
4,3.043567,42.0
5,2.860850,41.8
6,2.654061,42.0
7,2.414191,42.0
8,2.250740,41.9
9,2.068328,41.5
10,1.971228,41.0
11,1.779467,41.0
12,1.670673,40.8
13,1.565514,41.0
14,1.492958,41.3
15,1.399106,41.7
16,1.328188,41.8
17,1.271431,41.7
18,1.219423,41.8
19,1.188501,41.8
20,1.086532,41.7
21,1.092523,41.6
22,1.017170,41.8
23,1.008609,41.9
24,0.962135,41.6
25,0.929867,41.7
26,0.882130,41.6
27,0.904647,41.8
28,0.882781,41.6
29,0.848475,41.6
30,0.803196,41.6
31,0.808559,40.7
32,0.780516,41.4
33,0.794028,41.9
34,0.775203,41.6
35,0.730887,41.6
36,0.711928,41.8
37,0.702216,41.7
38,0.765387,42.0
39,0.696192,41.7
40,0.691791,41.9
41,0.709685,44.9
42,0.642544,41.5
43,0.670185,41.9
44,0.687355,41.9
45,0.641856,41.9
46,0.614536,41.8
47,0.688071,41.8
48,0.597737,42.1
49,0.579219,304.1
50,0.575286,201577.6
51,0.580678,36.3
52,0.574989,34.6
53,0.561018,34.5
54,0.593008,35.3
55,0.585683,34.8
56,0.555693,35.6
57,0.540662,35.7
58,0.577502,36.2
59,0.533140,36.1
60,0.535217,36.0
61,0.517495,35.3
62,0.528275,35.7
63,0.517646,35.1
64,0.547475,35.0
65,0.518021,35.0
66,0.524956,35.4
67,0.515717,35.8
68,0.502901,35.2
69,0.527613,35.2
70,0.485016,35.3
71,0.573567,35.4
72,0.492347,35.3
73,0.492961,35.2
74,0.477249,35.3
75,0.498861,37.0
76,0.480640,36.7
77,0.466009,36.2
78,0.589085,35.7
79,0.469202,35.3
80,0.472689,37.9
