epoch,val_loss,epoch_sure_sn
1,4.062645,42.0
2,3.501579,41.9
3,3.220137,41.7
4,2.999331,41.6
5,2.749470,40.9
6,2.518640,40.8
7,2.200987,41.5
8,1.993455,67.5
9,1.740658,40.4
10,1.690419,74.2
11,1.445130,39.4
12,1.397372,45.8
13,1.328257,116.5
14,1.240672,109.7
15,1.176801,104.5
16,1.082433,96.0
17,1.078942,101.0
18,0.988857,44.3
19,0.929114,60.5
20,0.903364,51.6
21,0.950324,110.1
22,0.858849,128.5
23,0.830516,106.7
24,0.829650,40.6
25,0.782985,40.8
26,0.777371,43.0
27,0.766612,44.1
28,0.725866,46.2
29,0.714355,107.2
30,0.747182,42.1
31,0.731790,39.5
32,0.675253,41.8
33,0.685348,41.3
34,0.658211,40.7
35,0.645965,43.1
36,0.609821,42.7
37,0.608966,41.7
38,0.589459,40.8
39,0.582410,64.8
40,0.591426,76.2
41,0.565566,47.7
42,0.629297,39.8
43,0.602896,67.2
44,0.578538,71.6
45,0.545616,53.7
46,0.524334,39.3
47,0.559564,39.4
48,0.526981,39.8
49,0.560998,39.4
50,0.512379,39.8
51,0.514232,39.4
52,0.497868,47.2
53,0.512052,46.4
54,0.553649,74.7
55,0.495819,73.8
56,0.460910,71.6
57,0.494626,73.0
58,0.529003,80.2
59,0.480728,69.6
60,0.472755,41.4
61,0.477436,40.7
62,0.485697,68.4
63,0.442657,56.2
64,0.431594,45.8
65,0.445665,45.5
66,0.482460,46.1
67,0.457453,46.1
68,0.430427,41.7
69,0.482061,43.1
70,0.479188,42.4
71,0.443979,41.6
72,0.465127,42.2
73,0.452441,41.4
74,0.458402,41.9
75,0.437444,41.5
76,0.428756,40.9
77,0.409537,41.6
78,0.422522,43.2
79,0.404870,41.1
80,0.411580,41.2
