epoch,val_loss,epoch_sure_sn
1,4.769259,136.6
2,4.597836,79.8
3,4.508421,79.5
4,4.433511,79.3
5,4.254937,79.1
6,4.069528,79.5
7,3.920468,79.1
8,3.853399,78.9
9,3.782026,78.9
10,3.732371,78.7
11,3.721150,78.9
12,3.679376,78.8
13,3.639037,78.6
14,3.638294,79.1
15,3.613366,79.0
16,3.576664,78.8
17,3.551756,78.9
18,3.516476,78.9
19,3.511471,78.7
20,3.521925,79.1
21,3.520165,78.8
22,3.467423,78.8
23,3.483198,78.8
24,3.454055,78.9
25,3.431855,78.8
26,3.437843,78.7
27,3.431232,78.5
28,3.424401,78.8
29,3.387875,78.7
30,3.361861,78.7
31,3.353832,79.0
32,3.267458,78.6
33,3.238085,78.7
34,3.209448,79.0
35,3.167943,78.8
36,3.099027,79.0
37,3.031478,78.8
38,3.016430,78.8
39,3.002130,78.6
40,2.970782,78.7
41,2.938474,78.6
42,2.920057,78.6
43,2.888297,78.7
44,2.900631,78.7
45,2.893845,78.6
46,2.892854,78.7
47,2.851999,79.0
48,2.821147,78.7
49,2.786908,78.8
50,2.771643,78.8
51,2.719854,78.5
52,2.711924,79.0
53,2.707458,79.5
54,2.673576,90.0
55,2.660786,81.1
56,2.620128,81.7
57,2.628277,93.9
58,2.619089,82.9
59,2.588763,79.2
60,2.583592,79.4
