lam,kanal,snr,kural,secim,fayda,regret,bleu1
0.03,AWGN,3,SABIT-EN-IYI,DeepSC-improved,0.8881,0.0,0.8881
0.03,AWGN,3,KAHIN-DOGRULUK,DeepSC-improved,0.8881,0.0,0.8881
0.03,AWGN,3,ESIK-SEZGISI,DeepSC-improved,0.8881,0.0,0.8881
0.03,AWGN,3,BIZIM-POLITIKA-v1,DeepSC-improved,0.8881,0.0,0.8881
0.03,AWGN,3,BIZIM-POLITIKA-v2,DeepSC-improved,0.8881,0.0,0.8881
0.03,AWGN,3,KAHIN,DeepSC-improved,0.8881,0.0,0.8881
0.03,AWGN,9,SABIT-EN-IYI,DeepSC-improved,0.9138,0.0494,0.9138
0.03,AWGN,9,KAHIN-DOGRULUK,Qwen-2B-INT4,0.9632,0.0,0.9926
0.03,AWGN,9,ESIK-SEZGISI,Qwen-0.8B-FP16,0.9576,0.0057,0.9855
0.03,AWGN,9,BIZIM-POLITIKA-v1,DeepSC,0.9305,0.0327,0.9305
0.03,AWGN,9,BIZIM-POLITIKA-v2,Qwen-2B-INT4,0.9632,0.0,0.9926
0.03,AWGN,9,KAHIN,Qwen-2B-INT4,0.9632,0.0,0.9926
0.03,AWGN,15,SABIT-EN-IYI,DeepSC-improved,0.9108,0.0613,0.9108
0.03,AWGN,15,KAHIN-DOGRULUK,Qwen-2B-INT4,0.9707,0.0014,1.0
0.03,AWGN,15,ESIK-SEZGISI,Qwen-0.8B-FP16,0.9721,0.0,1.0
0.03,AWGN,15,BIZIM-POLITIKA-v1,Qwen-0.8B-FP16,0.9721,0.0,1.0
0.03,AWGN,15,BIZIM-POLITIKA-v2,Qwen-0.8B-FP16,0.9721,0.0,1.0
0.03,AWGN,15,KAHIN,Qwen-0.8B-FP16,0.9721,0.0,1.0
0.03,Rayleigh,3,SABIT-EN-IYI,DeepSC,0.637,0.0649,0.637
0.03,Rayleigh,3,KAHIN-DOGRULUK,DeepSC-improved,0.7019,0.0,0.7019
0.03,Rayleigh,3,ESIK-SEZGISI,DeepSC,0.637,0.0649,0.637
0.03,Rayleigh,3,BIZIM-POLITIKA-v1,DeepSC,0.637,0.0649,0.637
0.03,Rayleigh,3,BIZIM-POLITIKA-v2,DeepSC,0.637,0.0649,0.637
0.03,Rayleigh,3,KAHIN,DeepSC-improved,0.7019,0.0,0.7019
0.03,Rayleigh,9,SABIT-EN-IYI,DeepSC,0.8282,0.081,0.8282
0.03,Rayleigh,9,KAHIN-DOGRULUK,Qwen-4B-INT4,0.8973,0.0119,0.9453
0.03,Rayleigh,9,ESIK-SEZGISI,Qwen-2B-INT4,0.9092,0.0,0.9386
0.03,Rayleigh,9,BIZIM-POLITIKA-v1,DeepSC-improved,0.8415,0.0677,0.8415
0.03,Rayleigh,9,BIZIM-POLITIKA-v2,Qwen-2B-INT4,0.9092,0.0,0.9386
0.03,Rayleigh,9,KAHIN,Qwen-2B-INT4,0.9092,0.0,0.9386
0.03,Rayleigh,15,SABIT-EN-IYI,DeepSC,0.9003,0.0657,0.9003
0.03,Rayleigh,15,KAHIN-DOGRULUK,Qwen-2B-INT4,0.966,0.0,0.9954
0.03,Rayleigh,15,ESIK-SEZGISI,Qwen-2B-INT4,0.966,0.0,0.9954
0.03,Rayleigh,15,BIZIM-POLITIKA-v1,Qwen-2B-INT4,0.966,0.0,0.9954
0.03,Rayleigh,15,BIZIM-POLITIKA-v2,Qwen-2B-INT4,0.966,0.0,0.9954
0.03,Rayleigh,15,KAHIN,Qwen-2B-INT4,0.966,0.0,0.9954
