lam_d,lam_m,kanal,snr,secim,fayda,bleu1,gecikme_sn_cumle,gecikme_sn_token,bellek_gb
0.0,0.0,AWGN,0,DeepSC-improved,0.7256,0.7256,0.155,0.0108,0.079
0.0,0.0,AWGN,6,Qwen-4B-INT4,0.9442,0.9442,5.522,0.3503,4.772
0.0,0.0,AWGN,12,Qwen-2B-INT8,0.9992,0.9992,9.121,0.8795,3.133
0.0,0.0,AWGN,18,Qwen-0.8B-FP16,1.0,1.0,4.318,0.2506,2.269
0.0,0.0,Rayleigh,0,DeepSC,0.5442,0.5442,0.155,0.0108,0.079
0.0,0.0,Rayleigh,6,Qwen-2B-FP16,0.7942,0.7942,3.953,0.2255,4.504
0.0,0.0,Rayleigh,12,Qwen-2B-FP16,0.9748,0.9748,3.953,0.2255,4.504
0.0,0.0,Rayleigh,18,Qwen-2B-INT8,0.9973,0.9973,9.121,0.8795,3.133
0.01,0.01,AWGN,0,DeepSC-improved,0.7256,0.7256,0.155,0.0108,0.079
0.01,0.01,AWGN,6,Qwen-2B-INT4,0.9307,0.9405,4.238,0.2423,2.531
0.01,0.01,AWGN,12,Qwen-0.8B-FP16,0.9896,0.999,4.318,0.2506,2.269
0.01,0.01,AWGN,18,Qwen-0.8B-FP16,0.9907,1.0,4.318,0.2506,2.269
0.01,0.01,Rayleigh,0,DeepSC,0.5442,0.5442,0.155,0.0108,0.079
0.01,0.01,Rayleigh,6,Qwen-2B-FP16,0.7805,0.7942,3.953,0.2255,4.504
0.01,0.01,Rayleigh,12,Qwen-2B-INT4,0.9631,0.9729,4.238,0.2423,2.531
0.01,0.01,Rayleigh,18,Qwen-2B-INT4,0.9856,0.9954,4.238,0.2423,2.531
0.03,0.03,AWGN,0,DeepSC-improved,0.7256,0.7256,0.155,0.0108,0.079
0.03,0.03,AWGN,6,DeepSC,0.9224,0.9224,0.155,0.0108,0.079
0.03,0.03,AWGN,12,Qwen-0.8B-FP16,0.971,0.999,4.318,0.2506,2.269
0.03,0.03,AWGN,18,Qwen-0.8B-FP16,0.9721,1.0,4.318,0.2506,2.269
0.03,0.03,Rayleigh,0,DeepSC,0.5442,0.5442,0.155,0.0108,0.079
0.03,0.03,Rayleigh,6,DeepSC-improved,0.7692,0.7692,0.155,0.0108,0.079
0.03,0.03,Rayleigh,12,Qwen-2B-INT4,0.9435,0.9729,4.238,0.2423,2.531
0.03,0.03,Rayleigh,18,Qwen-2B-INT4,0.9661,0.9954,4.238,0.2423,2.531
0.08,0.08,AWGN,0,DeepSC-improved,0.7256,0.7256,0.155,0.0108,0.079
0.08,0.08,AWGN,6,DeepSC,0.9224,0.9224,0.155,0.0108,0.079
0.08,0.08,AWGN,12,DeepSC,0.9322,0.9322,0.155,0.0108,0.079
0.08,0.08,AWGN,18,DeepSC,0.9329,0.9329,0.155,0.0108,0.079
0.08,0.08,Rayleigh,0,DeepSC,0.5442,0.5442,0.155,0.0108,0.079
0.08,0.08,Rayleigh,6,DeepSC-improved,0.7692,0.7692,0.155,0.0108,0.079
0.08,0.08,Rayleigh,12,Qwen-2B-INT4,0.8946,0.9729,4.238,0.2423,2.531
0.08,0.08,Rayleigh,18,Qwen-2B-INT4,0.9172,0.9954,4.238,0.2423,2.531
0.2,0.2,AWGN,0,DeepSC-improved,0.7256,0.7256,0.155,0.0108,0.079
0.2,0.2,AWGN,6,DeepSC,0.9224,0.9224,0.155,0.0108,0.079
0.2,0.2,AWGN,12,DeepSC,0.9322,0.9322,0.155,0.0108,0.079
0.2,0.2,AWGN,18,DeepSC,0.9329,0.9329,0.155,0.0108,0.079
0.2,0.2,Rayleigh,0,DeepSC,0.5442,0.5442,0.155,0.0108,0.079
0.2,0.2,Rayleigh,6,DeepSC-improved,0.7692,0.7692,0.155,0.0108,0.079
0.2,0.2,Rayleigh,12,DeepSC-improved,0.8735,0.8735,0.155,0.0108,0.079
0.2,0.2,Rayleigh,18,DeepSC,0.9104,0.9104,0.155,0.0108,0.079
