run,snr,similarity,n
LONG-qwen08b,0,0.8282,100
LONG-qwen08b,6,0.9938,100
LONG-qwen08b,12,1.0,100
LONG-qwen08b,18,1.0,100
qwen08b-AWGN,0,0.7252,300
qwen08b-AWGN,3,0.8524,300
qwen08b-AWGN,6,0.968,300
qwen08b-AWGN,9,0.995,300
qwen08b-AWGN,12,0.9998,300
qwen08b-AWGN,15,1.0,300
qwen08b-AWGN,18,1.0,300
qwen08b-Rayleigh,0,0.7064,300
qwen08b-Rayleigh,3,0.7836,300
qwen08b-Rayleigh,6,0.8933,300
qwen08b-Rayleigh,9,0.9643,300
qwen08b-Rayleigh,12,0.9838,300
qwen08b-Rayleigh,15,0.9942,300
qwen08b-Rayleigh,18,0.9974,300
qwen2b-AWGN,0,0.754,300
qwen2b-AWGN,3,0.888,300
qwen2b-AWGN,6,0.9781,300
qwen2b-AWGN,9,0.9966,300
qwen2b-AWGN,12,0.9999,300
qwen2b-AWGN,15,1.0,300
qwen2b-AWGN,18,1.0,300
qwen2b-int4-AWGN,0,0.7456,150
qwen2b-int8-AWGN,0,0.7568,150
qwen2b-int8-AWGN,6,0.9765,150
qwen2b-int8-AWGN,12,0.9997,150
qwen2b-int8-AWGN,18,1.0,150
qwen2b-Rayleigh,0,0.7196,300
qwen2b-Rayleigh,3,0.807,300
qwen2b-Rayleigh,6,0.9236,300
qwen2b-Rayleigh,9,0.9735,300
qwen2b-Rayleigh,12,0.9903,300
qwen2b-Rayleigh,15,0.9957,300
qwen2b-Rayleigh,18,0.9984,300
vicuna7b-AWGN,0,0.717,150
vicuna7b-AWGN,3,0.8323,150
vicuna7b-AWGN,6,0.9492,150
vicuna7b-AWGN,9,0.9821,150
vicuna7b-AWGN,12,0.9941,150
vicuna7b-AWGN,15,0.9999,150
vicuna7b-AWGN,18,1.0,150
vicuna7b-Rayleigh,0,0.7024,150
vicuna7b-Rayleigh,3,0.7665,150
vicuna7b-Rayleigh,6,0.8777,150
vicuna7b-Rayleigh,9,0.9422,150
vicuna7b-Rayleigh,12,0.9737,150
vicuna7b-Rayleigh,15,0.9858,150
vicuna7b-Rayleigh,18,0.9913,150
